GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
06047,California,Merced County,274765,38519,2501,9.1023,25,0.091
12045,Florida,Gulf County,16164,35701,147,9.0943,4,0.2475
37147,North Carolina,Pitt County,179914,41191,1635,9.0877,7,0.0389
29229,Missouri,Wright County,18378,32178,167,9.087,6,0.3265
37033,North Carolina,Caswell County,22698,35591,206,9.0757,1,0.0441
28029,Mississippi,Copiah County,28543,33203,259,9.074,3,0.1051
26153,Michigan,Schoolcraft County,8068,39948,73,9.0481,1,0.1239
39105,Ohio,Meigs County,23106,34067,209,9.0453,0,0.0
28023,Mississippi,Clarke County,15604,36431,141,9.0361,0,0.0
22099,Louisiana,St. Martin Parish,53621,37645,484,9.0263,7,0.1305
05077,Arkansas,Lee County,8985,27619,81,9.015,0,0.0
37101,North Carolina,Johnston County,202675,39922,1827,9.0144,7,0.0345
33011,New Hampshire,Hillsborough County,415247,61147,3742,9.0115,10,0.0241
13137,Georgia,Habersham County,45388,33925,409,9.0112,4,0.0881
24033,Maryland,Prince George's County,909308,49420,8186,9.0025,68,0.0748
28101,Mississippi,Newton County,21443,34645,193,9.0006,1,0.0466
47139,Tennessee,Polk County,16898,33772,152,8.9951,2,0.1184
12077,Florida,Liberty County,8457,23582,76,8.9866,3,0.3547
21023,Kentucky,Bracken County,8239,36758,74,8.9817,2,0.2427
21055,Kentucky,Crittenden County,8915,35325,80,8.9736,0,0.0
42051,Pennsylvania,Fayette County,130441,42649,1170,8.9696,4,0.0307
41049,Oregon,Morrow County,11372,39095,102,8.9694,0,0.0
48355,Texas,Nueces County,362265,44378,3245,8.9575,46,0.127
49025,Utah,Kane County,7709,40257,69,8.9506,0,0.0
08051,Colorado,Gunnison County,17246,47149,154,8.9296,0,0.0
49033,Utah,Rich County,2464,35436,22,8.9286,0,0.0
37061,North Carolina,Duplin County,58856,33619,524,8.9031,8,0.1359
50023,Vermont,Washington County,58140,60255,516,8.8751,0,0.0
45037,South Carolina,Edgefield County,27052,36436,240,8.8718,2,0.0739
01129,Alabama,Washington County,16378,36323,145,8.8533,7,0.4274
01087,Alabama,Macon County,18439,32919,163,8.84,2,0.1085
47173,Tennessee,Union County,19688,31693,174,8.8379,1,0.0508
48441,Texas,Taylor County,137640,45333,1215,8.8274,45,0.3269
32013,Nevada,Humboldt County,16786,46927,148,8.8169,1,0.0596
12005,Florida,Bay County,185287,43231,1633,8.8134,23,0.1241
21163,Kentucky,Meade County,28715,40026,253,8.8107,0,0.0
22051,Louisiana,Jefferson Parish,434051,51005,3824,8.81,40,0.0922
34027,New Jersey,Morris County,494228,98842,4354,8.8097,20,0.0405
54025,West Virginia,Greenbrier County,34786,38098,306,8.7966,4,0.115
54019,West Virginia,Fayette County,43018,34577,378,8.787,10,0.2325
42093,Pennsylvania,Montour County,18240,57426,160,8.7719,4,0.2193
12109,Florida,St. Johns County,254261,68149,2226,8.7548,12,0.0472
37191,North Carolina,Wayne County,123248,38472,1079,8.7547,31,0.2515
01105,Alabama,Perry County,9140,30535,80,8.7527,0,0.0
28105,Mississippi,Oktibbeha County,49599,34367,434,8.7502,6,0.121
28043,Mississippi,Grenada County,21055,35632,184,8.739,5,0.2375
21147,Kentucky,McCreary County,17408,25835,152,8.7316,0,0.0
48093,Texas,Comanche County,13534,42465,118,8.7188,1,0.0739
54049,West Virginia,Marion County,56097,41980,489,8.717,4,0.0713
12071,Florida,Lee County,754610,51266,6577,8.7158,66,0.0875
38007,North Dakota,Billings County,919,74682,8,8.7051,0,0.0
47067,Tennessee,Hancock County,6549,27042,57,8.7036,0,0.0
12099,Florida,Palm Beach County,1485941,79760,12925,8.6982,106,0.0713
41001,Oregon,Baker County,16006,40699,139,8.6842,0,0.0
01019,Alabama,Cherokee County,26032,35505,226,8.6816,9,0.3457
37015,North Carolina,Bertie County,19026,34766,165,8.6723,4,0.2102
54063,West Virginia,Monroe County,13280,30359,115,8.6596,2,0.1506
36121,New York,Wyoming County,40085,39801,347,8.6566,3,0.0748
37167,North Carolina,Stanly County,62075,39047,537,8.6508,5,0.0805
36007,New York,Broome County,191659,44540,1657,8.6456,43,0.2244
28061,Mississippi,Jasper County,16428,37281,142,8.6438,5,0.3044
22057,Louisiana,Lafourche Parish,98115,47096,847,8.6327,9,0.0917
22045,Louisiana,Iberia Parish,70941,39270,612,8.6269,10,0.141
02110,Alaska,Juneau,32113,68145,277,8.6258,2,0.0623
13241,Georgia,Rabun County,16867,41128,145,8.5967,0,0.0
37165,North Carolina,Scotland County,34810,33229,299,8.5895,11,0.316
24045,Maryland,Wicomico County,103195,42054,886,8.5857,8,0.0775
08057,Colorado,Jackson County,1399,49723,12,8.5776,0,0.0
