State,GeoFIPS,County,population,total_cases
North Carolina,37051,Cumberland County,332330,10391
Colorado,8101,Pueblo County,167529,10360
Georgia,13245,Richmond County,201554,10336
Michigan,26065,Ingham County,292735,10298
Virginia,51041,Chesterfield County,348556,10216
Indiana,18127,Porter County,169594,10199
Ohio,39093,Lorain County,309461,10195
Wisconsin,55117,Sheboygan County,115456,10173
Texas,48041,Brazos County,226758,10093
Iowa,19103,Johnson County,151260,10083
Florida,12091,Okaloosa County,207269,10072
Texas,48135,Ector County,162124,10069
Michigan,26145,Saginaw County,190800,10054
New Jersey,34035,Somerset County,331164,10052
Alabama,1003,Baldwin County,218022,10037
Washington,53011,Clark County,481857,10017
Georgia,13057,Cherokee County,254149,9993
Wisconsin,55039,Fond du Lac County,103066,9812
Florida,12109,St. Johns County,254261,9805
Iowa,19061,Dubuque County,96854,9722
Texas,48027,Bell County,355642,9674
Wisconsin,55027,Dodge County,87847,9640
Minnesota,27139,Scott County,147381,9605
Illinois,17113,McLean County,172828,9519
Illinois,17091,Kankakee County,110024,9475
Pennsylvania,42043,Dauphin County,277097,9470
South Dakota,46103,Pennington County,111729,9447
Florida,12005,Bay County,185287,9429
Illinois,17161,Rock Island County,143477,9410
Ohio,39085,Lake County,230514,9338
Minnesota,27171,Wright County,136349,9304
Virginia,51087,Henrico County,329261,9281
Wisconsin,55063,La Crosse County,118230,9177
Idaho,16055,Kootenai County,161505,9107
South Carolina,45007,Anderson County,200482,9086
Washington,53005,Benton County,201877,9068
Arizona,4017,Navajo County,110445,9056
Kansas,20177,Shawnee County,177499,9048
New Jersey,34001,Atlantic County,265429,9039
Maryland,24027,Howard County,323196,9004
Texas,48139,Ellis County,179436,8950
North Carolina,37179,Union County,235908,8867
Utah,49005,Cache County,127068,8829
North Carolina,37101,Johnston County,202675,8823
North Carolina,37147,Pitt County,179914,8791
Indiana,18081,Johnson County,156225,8771
Missouri,29097,Jasper County,120636,8733
Florida,12019,Clay County,216072,8690
Tennessee,47189,Wilson County,140625,8672
Idaho,16019,Bonneville County,116854,8656
Texas,48329,Midland County,172578,8564
Arizona,4005,Coconino County,142854,8494
Georgia,13151,Henry County,230220,8459
North Dakota,38035,Grand Forks County,70770,8431
Georgia,13313,Whitfield County,104062,8410
Wisconsin,55035,Eau Claire County,104534,8380
New York,36027,Dutchess County,293718,8339
Alabama,1081,Lee County,163941,8329
Florida,12113,Santa Rosa County,179349,8290
Indiana,18063,Hendricks County,167009,8256
Michigan,26121,Muskegon County,173588,8235
Kentucky,21227,Warren County,131264,8174
California,6061,Placer County,393149,8173
Texas,48485,Wichita County,132064,8143
Ohio,39025,Clermont County,205466,8136
Montana,30031,Gallatin County,111876,8095
California,6041,Marin County,259666,8092
Mississippi,28047,Harrison County,206650,8039
North Carolina,37001,Alamance County,166436,7989
Illinois,17179,Tazewell County,132328,7975
Oklahoma,40017,Canadian County,144447,7960
Maryland,24021,Frederick County,255648,7952
North Carolina,37025,Cabarrus County,211342,7945
Ohio,39041,Delaware County,204826,7944
North Dakota,38101,Ward County,67744,7931
Arkansas,5031,Craighead County,108558,7924
North Carolina,37035,Catawba County,158652,7911
North Carolina,37155,Robeson County,131831,7877
Texas,48209,Hays County,222631,7874
Ohio,39155,Trumbull County,198627,7847
Wisconsin,55127,Walworth County,103718,7845
Alabama,1103,Morgan County,119089,7820
Georgia,13021,Bibb County,153095,7815
New Mexico,35031,McKinley County,72290,7751
South Carolina,45013,Beaufort County,188715,7720
Michigan,26021,Berrien County,154141,7715
Tennessee,47125,Montgomery County,205950,7676
Arkansas,5131,Sebastian County,127753,7653
Ohio,39089,Licking County,175769,7632
North Carolina,37129,New Hanover County,232274,7628
Arizona,4015,Mohave County,209550,7621
South Carolina,45015,Berkeley County,221091,7608
Minnesota,27109,Olmsted County,156277,7608
South Carolina,45041,Florence County,138159,7603
Tennessee,47163,Sullivan County,157668,7587
Montana,30029,Flathead County,102106,7562
Oregon,41005,Clackamas County,416075,7526
Alabama,1055,Etowah County,102501,7517
Indiana,18167,Vigo County,107386,7507
South Carolina,45077,Pickens County,124937,7478
Alabama,1095,Marshall County,96109,7358
Alabama,1015,Calhoun County,114277,7332
Georgia,13215,Muscogee County,194160,7299
Louisiana,22105,Tangipahoa Parish,133777,7248
Idaho,16083,Twin Falls County,86081,7247
Virginia,51760,Richmond,228783,7224
Iowa,19169,Story County,98105,7216
South Carolina,45003,Aiken County,169401,7202
Connecticut,9011,New London County,266784,7198
Washington,53021,Franklin County,94347,7197
Pennsylvania,42049,Erie County,272061,7169
Georgia,13059,Clarke County,127330,7140
Arizona,4025,Yavapai County,231993,7125
California,6039,Madera County,157672,7115
Ohio,39045,Fairfield County,155782,7114
Tennessee,47179,Washington County,128607,7104
Iowa,19155,Pottawattamie County,93533,7098
Illinois,17115,Macon County,104712,7073
Virginia,51550,Chesapeake,242634,7071
Illinois,17093,Kendall County,127915,7055
Virginia,51710,Norfolk,244076,7038
Ohio,39057,Greene County,167995,7024
New York,36001,Albany County,307117,6991
Pennsylvania,42027,Centre County,162805,6976
Mississippi,28059,Jackson County,143277,6976
Louisiana,22015,Bossier Parish,127185,6976
Illinois,17099,LaSalle County,109430,6971
California,6079,San Luis Obispo County,284010,6965
Colorado,8077,Mesa County,153207,6959
Virginia,51013,Arlington County,237521,6944
Georgia,13117,Forsyth County,236612,6921
New Mexico,35045,San Juan County,125043,6906
Iowa,19049,Dallas County,90180,6876
Tennessee,47119,Maury County,94340,6776
Michigan,26025,Calhoun County,134487,6731
Texas,48251,Johnson County,171361,6729
Missouri,29051,Cole County,76796,6728
Louisiana,22079,Rapides Parish,130562,6709
Maryland,24025,Harford County,253956,6704
Ohio,39023,Clark County,134585,6669
Tennessee,47009,Blount County,131349,6669
Indiana,18095,Madison County,129641,6661
Mississippi,28121,Rankin County,153902,6645
Pennsylvania,42041,Cumberland County,251423,6633
Minnesota,27141,Sherburne County,96036,6632
Indiana,18105,Monroe County,146917,6628
Louisiana,22063,Livingston Parish,139567,6618
Texas,48423,Smith County,230221,6616
Florida,12085,Martin County,160912,6612
Michigan,26093,Livingston County,191224,6589
South Carolina,45035,Dorchester County,160647,6571
New York,36065,Oneida County,229577,6545
New Hampshire,33015,Rockingham County,309176,6510
Ohio,39103,Medina County,179146,6506
Tennessee,47141,Putnam County,78843,6502
North Carolina,37097,Iredell County,178435,6488
West Virginia,54039,Kanawha County,180454,6478
North Carolina,37159,Rowan County,141262,6458
Indiana,18019,Clark County,117360,6384
Kentucky,21117,Kenton County,166051,6372
Ohio,39003,Allen County,102663,6350
North Carolina,37021,Buncombe County,259103,6339
Michigan,26115,Monroe County,150439,6301
Delaware,10001,Kent County,178550,6292
Pennsylvania,42075,Lebanon County,141314,6290
Wisconsin,55055,Jefferson County,85129,6277
Louisiana,22005,Ascension Parish,124672,6263
North Carolina,37191,Wayne County,123248,6240
Michigan,26075,Jackson County,158823,6201
Ohio,39173,Wood County,130696,6154
North Carolina,37133,Onslow County,197683,6150
Pennsylvania,42021,Cambria County,131730,6125
Rhode Island,44003,Kent County,163861,6109
Indiana,18035,Delaware County,114772,6098
Tennessee,47011,Bradley County,106727,6081
Wyoming,56021,Laramie County,98976,6073
New York,36007,Broome County,191659,6057
North Carolina,37057,Davidson County,166614,6056
California,6089,Shasta County,180040,6055
Wisconsin,55071,Manitowoc County,79074,6036
North Carolina,37151,Randolph County,143351,6014
New Mexico,35043,Sandoval County,145179,6001
Tennessee,47113,Madison County,97605,5985
Arizona,4001,Apache County,71818,5952
Pennsylvania,42069,Lackawanna County,210793,5947
Wisconsin,55089,Ozaukee County,89147,5879
Texas,48257,Kaufman County,128622,5876
Virginia,51510,Alexandria,160530,5874
Georgia,13073,Columbia County,154291,5869
New Mexico,35049,Santa Fe County,150056,5852
South Dakota,46083,Lincoln County,58807,5835
Mississippi,28081,Lee County,85202,5829
Indiana,18091,LaPorte County,110007,5824
Pennsylvania,42055,Franklin County,154835,5753
Florida,12015,Charlotte County,184998,5741
Kansas,20155,Reno County,62342,5740
Alabama,1069,Houston County,104722,5736
New Jersey,34011,Cumberland County,150972,5730
Ohio,39109,Miami County,106222,5722
Illinois,17037,DeKalb County,104143,5708
Montana,30013,Cascade County,81643,5690
Pennsylvania,42125,Washington County,207346,5677
Arkansas,5125,Saline County,121421,5673
Indiana,18085,Kosciusko County,79344,5659
Wyoming,56025,Natrona County,79115,5656
Tennessee,47155,Sevier County,97892,5646
Missouri,29031,Cape Girardeau County,78753,5627
Florida,12053,Hernando County,190865,5599
Kentucky,21015,Boone County,131533,5592
Washington,53025,Grant County,97331,5585
Ohio,39101,Marion County,65256,5576
Texas,48471,Walker County,72480,5574
Minnesota,27019,Carver County,103551,5565
Missouri,29021,Buchanan County,88571,5542
Minnesota,27027,Clay County,63955,5537
Pennsylvania,42019,Butler County,187888,5530
California,6113,Yolo County,220408,5528
Michigan,26147,St. Clair County,159337,5525
Georgia,13185,Lowndes County,116321,5524
Arkansas,5069,Jefferson County,68114,5512
Arkansas,5045,Faulkner County,124806,5494
Louisiana,22097,St. Landry Parish,82764,5482
Mississippi,28089,Madison County,105630,5478
Connecticut,9005,Litchfield County,181111,5471
Missouri,29187,St. Francois County,66692,5453
New Mexico,35005,Chaves County,64689,5449
Georgia,13115,Floyd County,97927,5446
Georgia,13097,Douglas County,145331,5440
Alabama,1049,DeKalb County,71385,5411
Oklahoma,40031,Comanche County,120422,5408
Florida,12061,Indian River County,157413,5382
Montana,30063,Missoula County,118791,5354
Missouri,29071,Franklin County,103670,5341
Alabama,1043,Cullman County,83442,5334
Wisconsin,55017,Chippewa County,64135,5328
Kansas,20045,Douglas County,121436,5326
Texas,48187,Guadalupe County,163694,5315
Pennsylvania,42013,Blair County,122492,5287
Florida,12017,Citrus County,147929,5279
Missouri,29047,Clay County,246365,5236
Wisconsin,55097,Portage County,70942,5229
Texas,48323,Maverick County,58485,5220
Texas,48469,Victoria County,92035,5217
Idaho,16005,Bannock County,87138,5212
Illinois,17001,Adams County,65691,5209
Maryland,24043,Washington County,150926,5190
California,6087,Santa Cruz County,274255,5176
Michigan,26017,Bay County,103923,5175
Nebraska,31079,Hall County,61607,5158
Louisiana,22057,Lafourche Parish,98115,5153
Wisconsin,55109,St. Croix County,89694,5119
Pennsylvania,42007,Beaver County,164742,5119
Ohio,39139,Richland County,121099,5102
Ohio,39133,Portage County,162927,5101
Oregon,41039,Lane County,379611,5098
New York,36063,Niagara County,210433,5077
Kansas,20055,Finney County,36611,5062
Texas,48091,Comal County,148373,5060
Alaska,2170,Matanuska-Susitna,107610,5031
Florida,12023,Columbia County,70503,5031
Wisconsin,55141,Wood County,73055,5004
Alabama,1115,St. Clair County,88690,4968
New Mexico,35025,Lea County,69611,4926
Louisiana,22109,Terrebonne Parish,111021,4906
Georgia,13015,Bartow County,106408,4904
Oklahoma,40101,Muskogee County,68362,4897
Pennsylvania,42107,Schuylkill County,142067,4882
Indiana,18067,Howard County,82366,4864
Alabama,1083,Limestone County,96174,4862
Texas,48367,Parker County,138371,4825
Texas,48181,Grayson County,133991,4816
Kansas,20057,Ford County,33888,4807
North Carolina,37127,Nash County,94016,4803
Maryland,24017,Charles County,161503,4803
Kentucky,21093,Hardin County,110356,4784
Ohio,39129,Pickaway County,58086,4769
Minnesota,27067,Kandiyohi County,42855,4765
North Carolina,37045,Cleveland County,97645,4763
Alabama,1077,Lauderdale County,92387,4744
Oregon,41059,Umatilla County,77516,4714
California,6007,Butte County,231256,4706
Oklahoma,40131,Rogers County,91984,4703
Oklahoma,40119,Payne County,82040,4686
Michigan,26005,Allegan County,117327,4686
Idaho,16065,Madison County,39304,4678
Arizona,4003,Cochise County,126770,4663
Georgia,13153,Houston County,155469,4662
Ohio,39029,Columbiana County,102665,4650
Minnesota,27131,Rice County,66523,4642
Texas,48427,Starr County,64525,4639
Alabama,1051,Elmore County,81887,4633
Illinois,17183,Vermilion County,76806,4592
North Carolina,37023,Burke County,90382,4579
South Carolina,45085,Sumter County,106512,4572
Arizona,4023,Santa Cruz County,46511,4569
Ohio,39157,Tuscarawas County,92176,4555
Texas,48189,Hale County,33830,4549
Kentucky,21151,Madison County,92368,4527
Wisconsin,55015,Calumet County,50159,4519
Oregon,41029,Jackson County,219564,4514
North Carolina,37085,Harnett County,134214,4514
Minnesota,27013,Blue Earth County,67427,4508
Georgia,13223,Paulding County,164044,4465
California,6101,Sutter County,96807,4435
Connecticut,9007,Middlesex County,162682,4434
Georgia,13045,Carroll County,118121,4430
North Carolina,37195,Wilson County,81455,4417
Ohio,39169,Wayne County,115967,4402
Virginia,51770,Roanoke,99920,4379
Missouri,29037,Cass County,104954,4357
Maine,23005,Cumberland County,293557,4357
Wisconsin,55135,Waupaca County,51128,4354
Tennessee,47147,Robertson County,71012,4345
Oklahoma,40047,Garfield County,60913,4340
Virginia,51700,Newport News,178626,4323
Indiana,18005,Bartholomew County,82753,4319
Louisiana,22001,Acadia Parish,62190,4307
Arkansas,5051,Garland County,99154,4300
Illinois,17007,Boone County,53577,4287
Kentucky,21059,Daviess County,101104,4249
Georgia,13127,Glynn County,85219,4240
Missouri,29043,Christian County,86983,4226
North Dakota,38059,Morton County,31095,4221
Maryland,24001,Allegany County,70975,4204
Pennsylvania,42089,Monroe County,169507,4203
Mississippi,28035,Forrest County,75036,4203
North Carolina,37135,Orange County,146027,4191
Texas,48441,Taylor County,137640,4152
Alabama,1127,Walker County,63711,4152
Florida,12055,Highlands County,105424,4147
South Carolina,45075,Orangeburg County,86934,4145
Kansas,20103,Leavenworth County,81352,4138
Illinois,17195,Whiteside County,55626,4107
Illinois,17199,Williamson County,67056,4107
Indiana,18177,Wayne County,65936,4100
Arkansas,5115,Pope County,64000,4091
Oklahoma,40125,Pottawatomie County,72679,4081
Alabama,1121,Talladega County,79828,4081
Wisconsin,55115,Shawano County,40796,4070
Minnesota,27035,Crow Wing County,64889,4067
Florida,12063,Jackson County,48305,4059
Mississippi,28067,Jones County,68461,4054
Alabama,1071,Jackson County,51736,4052
Tennessee,47167,Tipton County,61581,4051
Indiana,18173,Warrick County,62567,4051
Indiana,18043,Floyd County,77781,4030
North Carolina,37027,Caldwell County,82029,4024
Kansas,20161,Riley County,73703,4023
Wisconsin,55111,Sauk County,64249,4022
Georgia,13077,Coweta County,145864,4022
Wisconsin,55043,Grant County,51554,4018
West Virginia,54003,Berkeley County,117123,4009
Louisiana,22045,Iberia Parish,70941,4000
Tennessee,47063,Hamblen County,64569,3985
Florida,12131,Walton County,71375,3983
New York,36111,Ulster County,178599,3974
North Carolina,37163,Sampson County,63626,3964
Mississippi,28075,Lauderdale County,75317,3947
Wisconsin,55005,Barron County,45164,3945
North Carolina,37109,Lincoln County,83770,3939
South Carolina,45057,Lancaster County,95380,3936
South Carolina,45073,Oconee County,78374,3921
Iowa,19167,Sioux County,34909,3918
Iowa,19187,Webster County,36277,3915
South Dakota,46013,Brown County,39316,3915
Nebraska,31019,Buffalo County,49615,3909
Wisconsin,55021,Columbia County,57358,3907
Kansas,20015,Butler County,66765,3884
Texas,48451,Tom Green County,118189,3870
Iowa,19033,Cerro Gordo County,42647,3854
Florida,12119,Sumter County,128754,3802
Pennsylvania,42085,Mercer County,110683,3800
Maryland,24013,Carroll County,168429,3796
Alaska,2090,Fairbanks North Star,98971,3787
Massachusetts,25001,Barnstable County,213413,3779
Indiana,18099,Marshall County,46248,3774
North Dakota,38089,Stark County,30997,3755
Virginia,51179,Stafford County,149960,3750
Indiana,18053,Grant County,65936,3746
Michigan,26045,Eaton County,109826,3743
West Virginia,54061,Monongalia County,106420,3738
California,6055,Napa County,139417,3733
Maryland,24045,Wicomico County,103195,3725
Indiana,18059,Hancock County,76351,3720
