GeoFIPS,State,County,Population,percapita_personal_income,new_confirmed,new_cases_per_1000,new_deceased,new_deceased_per_1000
22019,Louisiana,Calcasieu Parish,203112,48968,159,0.7828,1,0.0049
22011,Louisiana,Beauregard Parish,37253,42782,29,0.7785,0,0.0
13111,Georgia,Fannin County,25964,35727,20,0.7703,1,0.0385
48279,Texas,Lamb County,13158,38247,10,0.76,1,0.076
12097,Florida,Osceola County,367990,33346,279,0.7582,0,0.0
28017,Mississippi,Chickasaw County,17171,34805,13,0.7571,0,0.0
13299,Georgia,Ware County,35680,33906,27,0.7567,0,0.0
22057,Louisiana,Lafourche Parish,98115,47096,74,0.7542,0,0.0
01131,Alabama,Wilcox County,10627,32215,8,0.7528,0,0.0
48507,Texas,Zavala County,11983,29202,9,0.7511,0,0.0
22041,Louisiana,Franklin Parish,20156,31928,15,0.7442,0,0.0
48277,Texas,Lamar County,49728,40763,37,0.744,0,0.0
38083,North Dakota,Sheridan County,1349,35497,1,0.7413,0,0.0
13043,Georgia,Candler County,10836,31385,8,0.7383,0,0.0
22045,Louisiana,Iberia Parish,70941,39270,52,0.733,0,0.0
01129,Alabama,Washington County,16378,36323,12,0.7327,0,0.0
12005,Florida,Bay County,185287,43231,135,0.7286,0,0.0
01075,Alabama,Lamar County,13844,33496,10,0.7223,0,0.0
48101,Texas,Cottle County,1389,57288,1,0.7199,0,0.0
28149,Mississippi,Warren County,46176,39580,33,0.7147,0,0.0
12041,Florida,Gilchrist County,18256,33774,13,0.7121,0,0.0
51183,Virginia,Sussex County,11237,31378,8,0.7119,0,0.0
48017,Texas,Bailey County,7027,42507,5,0.7115,0,0.0
48149,Texas,Fayette County,25349,53564,18,0.7101,0,0.0
27081,Minnesota,Lincoln County,5673,48520,4,0.7051,0,0.0
41049,Oregon,Morrow County,11372,39095,8,0.7035,0,0.0
01055,Alabama,Etowah County,102501,36918,72,0.7024,0,0.0
13001,Georgia,Appling County,18507,33268,13,0.7024,0,0.0
28097,Mississippi,Montgomery County,10023,34180,7,0.6984,0,0.0
48111,Texas,Dallam County,7200,52148,5,0.6944,0,0.0
22109,Louisiana,Terrebonne Parish,111021,41504,77,0.6936,0,0.0
12027,Florida,DeSoto County,37489,23610,26,0.6935,1,0.0267
21045,Kentucky,Casey County,15888,31205,11,0.6923,0,0.0
22055,Louisiana,Lafayette Parish,242782,50273,168,0.692,2,0.0082
28073,Mississippi,Lamar County,62447,40529,43,0.6886,0,0.0
46105,South Dakota,Perkins County,2922,42195,2,0.6845,0,0.0
18115,Indiana,Ohio County,5844,40714,4,0.6845,0,0.0
01005,Alabama,Barbour County,24881,35199,17,0.6833,0,0.0
12031,Florida,Duval County,950181,46174,648,0.682,0,0.0
47055,Tennessee,Giles County,29503,38766,20,0.6779,0,0.0
12011,Florida,Broward County,1951260,50269,1314,0.6734,13,0.0067
48465,Texas,Val Verde County,49208,36554,33,0.6706,0,0.0
13229,Georgia,Pierce County,19389,36065,13,0.6705,0,0.0
12087,Florida,Monroe County,75027,92119,50,0.6664,0,0.0
27117,Minnesota,Pipestone County,9047,58004,6,0.6632,0,0.0
28041,Mississippi,Greene County,13586,28716,9,0.6624,0,0.0
47071,Tennessee,Hardin County,25776,39387,17,0.6595,0,0.0
48235,Texas,Irion County,1522,68327,1,0.657,0,0.0
12043,Florida,Glades County,13724,24467,9,0.6558,0,0.0
30009,Montana,Carbon County,10714,47442,7,0.6534,0,0.0
48069,Texas,Castro County,7665,42786,5,0.6523,0,0.0
37113,North Carolina,Macon County,35285,40057,23,0.6518,0,0.0
48423,Texas,Smith County,230221,55229,149,0.6472,3,0.013
47077,Tennessee,Henderson County,27847,35748,18,0.6464,0,0.0
55121,Wisconsin,Trempealeau County,29442,44698,19,0.6453,0,0.0
37007,North Carolina,Anson County,24877,34616,16,0.6432,0,0.0
19061,Iowa,Dubuque County,96854,49085,62,0.6401,0,0.0
48245,Texas,Jefferson County,255001,44065,163,0.6392,1,0.0039
13263,Georgia,Talbot County,6272,34504,4,0.6378,0,0.0
22127,Louisiana,Winn Parish,14134,36698,9,0.6368,0,0.0
12057,Florida,Hillsborough County,1436888,47000,913,0.6354,40,0.0278
48505,Texas,Zapata County,14190,28294,9,0.6342,1,0.0705
06051,California,Mono County,14250,51325,9,0.6316,0,0.0
16001,Idaho,Ada County,469966,52958,296,0.6298,2,0.0043
47033,Tennessee,Crockett County,14328,36560,9,0.6281,0,0.0
13105,Georgia,Elbert County,19120,35448,12,0.6276,0,0.0
13005,Georgia,Bacon County,11185,33080,7,0.6258,0,0.0
05115,Arkansas,Pope County,64000,35261,40,0.625,0,0.0
04017,Arizona,Navajo County,110445,32165,69,0.6247,1,0.0091
47037,Tennessee,Davidson County,692587,66060,432,0.6237,3,0.0043
21165,Kentucky,Menifee County,6451,30305,4,0.6201,0,0.0
41059,Oregon,Umatilla County,77516,39684,48,0.6192,0,0.0
28141,Mississippi,Tishomingo County,19454,33559,12,0.6168,0,0.0
45011,South Carolina,Barnwell County,21112,33363,13,0.6158,0,0.0
48063,Texas,Camp County,13033,38660,8,0.6138,0,0.0
48369,Texas,Parmer County,9864,44981,6,0.6083,0,0.0
13317,Georgia,Wilkes County,9876,39472,6,0.6075,0,0.0
48405,Texas,San Augustine County,8232,39879,5,0.6074,0,0.0
01063,Alabama,Greene County,8233,32359,5,0.6073,0,0.0
38029,North Dakota,Emmons County,3295,49489,2,0.607,0,0.0
20169,Kansas,Saline County,54401,49983,33,0.6066,0,0.0
28009,Mississippi,Benton County,8271,30285,5,0.6045,0,0.0
13069,Georgia,Coffee County,43093,32644,26,0.6033,0,0.0
12003,Florida,Baker County,28355,32313,17,0.5995,0,0.0
12029,Florida,Dixie County,16700,27956,10,0.5988,0,0.0
51710,Virginia,Norfolk,244076,41822,146,0.5982,0,0.0
48285,Texas,Lavaca County,20110,50919,12,0.5967,0,0.0
13017,Georgia,Ben Hill County,16787,31436,10,0.5957,0,0.0
